2023-11-08 12:07:44.418+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:07:45.050+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:07:45.396+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `press_key` of `RDPDeviceV3`
2023-11-08 12:07:47.316+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:07:52.421+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `update_working_area` of `WorkingAreaService`
2023-11-08 12:07:52.421+01:00 |      rdp-1 | MainThread | line 178 |   DEBUG |              aiviro.core.runner.WorkingAreaService | Working area has been set to None
2023-11-08 12:07:54.595+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `add_screen_mask` of `MaskService`
2023-11-08 12:07:54.595+01:00 |      rdp-1 | MainThread | line  40 | WARNING |                   aiviro.core.services.MaskService | ScreenMask(box=({'min_pt': (0, 1040), 'max_pt': (1920, 1080), 'label': 'area-type-box', 'score': 0.0, 'instant': False, 'blocked': False, 'extra': {}}, []), color=<Color RGBA (0, 0, 0, 1.0)/>) was already added into '_windows' mask-group
2023-11-08 12:07:54.596+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:07:54.655+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:07:57.039+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `update_working_area` of `WorkingAreaService`
2023-11-08 12:07:57.040+01:00 |      rdp-1 | MainThread | line 178 |   DEBUG |              aiviro.core.runner.WorkingAreaService | Working area has been set to None
2023-11-08 12:07:57.095+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `update_working_area` of `WorkingAreaService`
2023-11-08 12:07:57.095+01:00 |      rdp-1 | MainThread | line 178 |   DEBUG |              aiviro.core.runner.WorkingAreaService | Working area has been set to None
2023-11-08 12:07:57.220+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `hot_key` of `RDPDeviceV3`
